                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44827,                0.88646,                      1,                0.44222,             0.00023706,             0.00023706,             0.00023706
                      2,                0.22118,                 0.9083,                      1,                0.40892,             0.00042803,             0.00042803,             0.00042803
                      3,                0.18497,                0.93013,                      1,                0.39246,             0.00057188,             0.00057188,             0.00057188
                      4,                0.14654,                0.88865,                      1,                0.41756,             0.00050194,             0.00050194,             0.00050194
                      5,                0.12273,                0.92795,                      1,                0.38481,             0.00043126,             0.00043126,             0.00043126
                      6,                0.08272,                 0.9345,                      1,                 0.3792,             0.00036057,             0.00036057,             0.00036057
                      7,                0.07715,                0.93231,                      1,                0.38026,             0.00028988,             0.00028988,             0.00028988
                      8,                0.05608,                0.93013,                      1,                0.37981,              0.0002192,              0.0002192,              0.0002192
                      9,                0.05208,                0.92795,                      1,                0.38136,             0.00014851,             0.00014851,             0.00014851
                     10,                0.04794,                0.93013,                      1,                0.38291,             7.7826e-05,             7.7826e-05,             7.7826e-05
